TM Project UUID,Organization Name,Project Name
abdb9d09-7c55-4e26-8961-1aa26e991bbc,Friends of the Earth - Ghana,KAMRI - FoE Ghana
f6ad3f9f-122b-4927-8c0c-de5576054f15,WeForest Zambia,Katanino Forest Landscape Restoration Project - WeForest
76374ef9-c5df-4d62-a28b-92b100b95581,Kijabe Forest Trust (KFT),KIJABE FOREST TRUST
8cbda7fc-aa17-444b-8425-7047fade708c,Justdiggit,Kisiki Hai Program - JustDiggit
53f9f5a6-9346-436c-87bb-b5cc86d978c0,Society for the Conservation of Nature of Liberia (SCNL),Lake Piso Community Agroforestry Project - SCNL
33274073-8a4e-4eca-8b97-0e8da3833105,Environmental Foundation for Africa - Sierra Leone (EFA-Sierra Leone),Land Restoration for Ecosystem services and Livelihoods in Sierra Leone - EFA-SL
bbd88e69-cd85-429e-bebf-6234bf82dbb3,Albertine Rift Conservation Society (ARCOS Network),Landscape restoration for improved environmental resilience and community livelihoods - ARCOS
12aefea5-2ec9-4181-93c3-2c739f7c8d64,Hen Mpoano (Our Coast),Mangrove Ecosystem Restoration in South Western Ghana - Hen Mpoano
33ee81da-5421-410e-a642-37fc3b0cb935,My Trees Trust,Mashonaland West Woodlad Restoration (Chundu/Deve) - My Trees Trust
aa0f8df7-b668-48f0-a8ce-bf5558f2a9d6,Mount Kenya Environmental Conservation,Mount  Kenya Landscape Restoration and Community Livelihoods Improvement.
d8210ae4-2c85-4094-b0f3-0e0cda687aa9,Kijani Forestry,Multipurpose Agroforestry Plots with Smallholder Farmers - Kijani Forestry
3418f474-5d5d-422f-a12b-459040034223,Sustainable Run for Development Cameroon (SURUDEV),"Njising-Tabenken Community Forest Restoration Initiative through Sustainable agricultural practices, Re-afforestation and water Catchment Management - SURUDEV"
caf78b0a-d80a-482e-9c62-842302109a90,Plant with Purpose - Burundi,"Nyakazu, Burundi - Restoring Land and Lives - Plant with Purpose"
c3d2858f-aa3d-458e-8e88-5a7f376e6ef4,Les Perma-Jardins du Togo (PERJAT),Planter et  faire  pousser des arbres à travers la mise en place des réserves communautaires au Togo - PERJAT
243f93d2-0d4b-4dac-8b23-997e6528dc8e,Institute of Nature and Environmental Conservation (INEC-Ghana),Planting Trees – Reforestation - INEC Ghana
d5e0a4ff-8601-45d0-9020-8c104e5ea508,People and Nature Rwenzori Mountain (PANR),Planting Trees – Reforestation - PANR
5b02c3a0-0f64-4506-8cc5-719dfa8c1641,Association pour la Promotion des Arbres Fertilitaires de l'Agroforestérie et la Forestérie - Togo (APAF-Togo),Projet d’appui à l’agroforesterie et la foresterie villageoise dans la région maritime du Togo ( PAFVMATO) - APAF-TOGO
c4eade71-6f42-4e45-8649-ffa251f2caed,Association Mines sans Pauvreté (AMSP),Projet de conservation des forêts mangroviennes de la boucle des Rio Nuñez et Bongo dans les Préfectures de Boffa et Boké - AMSP
4124a403-45ca-4e48-be6f-6c15b3b48617,Association de Gestion des Ressources Naturelles et de la Faune de la Comoé-Léraba (AGEREF/CL),Projet de restauration des terres dégradées à la périphérie de la Forêt Classée et Réserve Partielle de Faune de la Comoé – Leraba - AGEREF-CL
6d4d7217-175b-4d0c-927d-7596381ddc55,Association Mines sans Pauvreté (AMSP),Projet de restauration et de conservation des écosystèmes du Ziama - AMSP
bcde8454-bdd2-4b62-95b9-b572e8c5c460,African Research Association Managing Development in Nigeria (ARADIN),Promoting Biodiversity Conservation and Sustainable Livelihoods in Obudu Plateau - ARADIN
a8940698-ff28-456c-b8cd-f7289e612913,Mouvement Alliance Paysanne du Togo (MAPTO),Promotion des stratégies de plantations des arbres dans la région des Savanes au Togo  (ProSPA) - MAPTO
5b6a5e11-03ae-4adc-b4ef-9bf4239aa705,Nsamizi Training Institute of Social Development (NTISD),REFORESTATION - Nsamizi (NTISD)
652ba56f-2e75-4735-a0d1-aafebbd940c1,Istituto Oikos Onlus,Reforestation of mangrove forests in Metuge district - Istituto Oikos Onlus
ed1cadff-e20f-43a7-8627-aee10f48cc7a,Autopromotion Rurale pour un Développement Humain Durable (ADHD),Réhabilitation et restauration des reliques forestières et des savanes pour une résilience de la communauté de Bato au changement climatique - ADHD
2d3717a6-293d-4b1b-a01c-d31a68560fd1,Programme d'Aide pour le Développement Economique et Social (PADES),Renforcement de la participation des populations pour la restauration du couvert végétal et des sols dégradés du massif de Lama dans la préfecture de la Kozah au Togo - PADES
5b82defe-b433-4eb0-b95c-09cd23a0f17d,Bénin Ecotourism Concern (ECO-Bénin),Restauration de mangroves et des périphéries de la chaîne de l’Atacora au Bénin - Eco-Benin
128c2ac7-dd30-4093-a079-6e9111aa3351,Climate Change Africa Opportunities (CCAO),Restauration et protection des forets communautaires et de la biodiversité par la plantation et gestion rationnelle d'arbres hôtes des chenilles comestibles par les jeunes et femmes autochtones en territoire de Mwenga au Sud Kivu - CCAO
529e1bae-2187-473f-a2a3-17e577720aba,Herp-Ghana,Restoration of a priority montane forest ecosystem in Ghana - Herp-Ghana
719bc145-df07-412f-a93a-3cf360ea6ed9,Sustainable Agroforestry Initiative (SAFI),"Restoration of Black Volta Basin Landscape for Energy, Income and Environment - SAFI"
9100baf3-9ac4-4db5-85a7-bc12b236a370,Institute of Green Growth Solutions (IGGS),RESTORATION OF DEGRADED LAND THROUGH AGROFORESTRY AND REFORESTATION IN GHANA - IGGS
5b7983b3-e887-44da-8d66-0ee747379214,Institute for Law and Environmental Governance (ILEG),"Restoration of Got Abiero and Yala Swamp for Improved Biodiversity Conservation, Community Livelihoods and Local Climate Stabilization Through Tree Growing - ILEG"
e4fe2fa4-6869-4c1e-9347-ba9b135306f5,Kijabe Environment Volunteers (KENVO),Restoration of Kiambu and Lari Landscapes through Planting and Growing Trees - KENVO
6af68b37-d2bc-4020-aaab-77a42cc25fd4,"Leadership, Environment and Action for Development Foundation (LEAD)",Restoration of Semi Arid lands of Tanzania - LEAD Foundation
47673f46-0af9-4047-afc7-b4f4fefaa5e7,Environmental Conservation Trust of Uganda (ECOTRUST),Restoration of Wetlands and Associated Catchments Project in Eastern Uganda - ECOTRUST
24fc33cb-53ad-4383-82ca-f6e2ac3fd143,Nigerian Conservation Foundation (NCF),Restoration Project - NCF
292bbbda-ec32-40e2-a127-3670a052423d,Durrell Wildlife Conservation Trust,Restoring the globally important wetlands of Alaotra and Sofia - Durrell
b7f26543-0ddb-4d10-a215-abfc093b0ed0,International Institute of Tropical Agriculture (IITA),Restoring the Olokemeji Forest Reserve through community-based conservation approach - IITA
2f4b5b55-49e2-4cec-a40a-521c5c142c91,CERATH Development Organization (CDO),The Integrated Resilient Savannah Agroforestry Project - CERATH
d1f355a2-3e0f-4ffd-bb2f-eec104bf8442,Kijani Pamoja (the Kilimanjaro Project),The Kilimanjaro Project (Kijani Pamoja)
f6075e7c-1d31-4bee-ba64-154cd664f7a1,Schools and Colleges Permaculture - Zambia (SCOPE-Zambia),Transforming bare land in to Food forest - SCOPE Zambia
71706fe4-0e80-4552-8be2-d6f6a55e13d2,Tree Adoption Uganda (TAU),Tree planting - Tree Adoption Uganda
6ca7c7b3-9109-4f34-8dc5-a64f8c7d558f,Forest and Agroforestry Promoters (FAP),Tree planting and bee keeping to rehabilitate degraded watershed areas in and around the Bali-Gemba forest Reserve - FAP
f81c1422-025c-45b1-a2e1-d354177523ca,International Centre for Research in Agroforestry (ICRAF),Trees for Landscape Restoration in Rwanda – World Forestry (ICRAF)
16b297b3-30a3-4624-bcc9-4333919f66fc,Wildlife Action Group (WAG),wildlife action group
96c86eae-d4f9-45d8-9780-69c55a9e36e9,World Vision International - Ethiopia,World Vision Ethiopia One Tree Planted Project
6b2dc32e-4414-48e0-9472-ebb49a766c28,Southern Alliance for Indigenous Resources (SAFIRE),Zimbabwe Forest Restoration Project - SAFIRE
