name,uuid
Action pour le Développement Durable en Afrique (ADDA),53715150-0348-46e6-b978-8389fb1592a9
Action pour le Développement Integral de la Femme,fa74bc44-4865-4997-8cd9-11b583258bb0
Action pour le Développement Socio-Economique (ADESEN),c8304dfb-e117-45c8-b3fc-37e3f7c91f9c
Action Sociale Kesho Congo,1471440d-90ee-45f5-b414-c54923a8b9c2
Action Solidaire pour la Promotion Sociale et le Développement au Congo (ASPSDC),d11e174c-24cc-4963-a34c-7a6e2f04900c
Actions Kusaidia,10b5d8db-e83a-494f-9671-386f87fc7fc2
Actions Paysannes pour le Développement (APDEV),bfe0464f-5a81-4abe-9db8-ad000ecd0bf7
Actions Paysannes pour le Développement et la Conservation de la Nature (APDCN),9a237ffe-1e38-45fd-a8c6-5161e509b9d7
Actions pour la Promotion Socio Economique des Menages,e1ec023e-5069-47c4-8e9d-d2e5a29b7702
Actions pour la Révolution Verte et la Protection de la Nature (ARVPN-RDC),ffec5299-39f3-42d5-85b0-0a894a0d6344
ADAPTA Management,787ece10-4b2b-412f-be91-b7e76068965d
ADARA,c7d78791-64bf-4cd0-8365-8b7d16b528e2
Addax Gum,15c330a7-d395-11ed-8014-0682e69bfbec
Adelaide Farms,2a006d93-ec72-4dad-9b73-e5cc0335c4b8
Adopt a Forest (AAF),965a02c2-902a-4aed-903b-c6e3e2ac2cbc
Adopt a Generation Africa,107043a1-e068-44f6-8d6f-7bb3fa0f999f
Advocates for Biodiversity Conservation,d6aef94e-5feb-4c8a-a79e-189fdae6fe12
Adzicels Happy Home Foundation (AHHF),6174b687-5573-44db-a50b-c88ad4c9ea1a
Adzicels Happy Home Foundation (AHHF),f304940c-47be-439f-8990-b45edbf8e9c5
Aerobic Agroforestry,15c0a25f-d395-11ed-8014-0682e69bfbec
Afarmers,0d82f32d-acc4-4354-aa74-f26a0f25454e
Afeco Farms,b3886c53-a915-4fdc-ab79-57cdc8e229fa
Afrex Gold,15c32151-d395-11ed-8014-0682e69bfbec
Africa Agricultural Matters,bcafbd74-d9ec-4eb6-b0eb-4c0d1a5d59db
Africa Apiculture Consortium (AAC),3ad183cf-8831-4510-a20f-323ef92ae24c
Africa Child Foundation Mission of Tanzania (ACFMT),b0efad4d-fb91-42b7-a601-a7fd0bf076d6
Africa Farm Research and Development,084950e5-7c8e-4597-a637-96e81ecadc62
Africa Feeds Herself,c08182ff-c0a2-4477-b1bf-013451f514a0
Africa Forest RDC,40ccc85c-78ea-4567-9de1-86c94efc6d08
Africa Re-Greening for a Regenerative and Climate Change Resilient Agriculture (AfRRA),693e7328-313f-4702-852f-d1c968c97071
Africa Sand Dam Foundation (ASDF),efea8be5-2191-4a01-b27a-bf10e638aa6d
Africa Women for Climate Change (AWCC),8307f320-77e4-430f-9516-465ac7691029
African Afforestation Association (AAA),1d78f9dd-596a-4cff-85c1-0057741ce006
African Evangelistic Enterprise (AEE-Rwanda),e1ed0a51-ea39-48d4-81fa-2c5300f99be1
African Forest,15c0b120-d395-11ed-8014-0682e69bfbec
African Forest,20a6bf5b-2a29-4534-915e-66a8b7523728
African Honey and Food Products,f4e9523c-2768-4656-b040-1fc96a938ae7
African Oilseeds Processing Company,15c297e3-d395-11ed-8014-0682e69bfbec
African Pro-Poor Tourism Development Centre (APTDC),42545692-7b7a-4e83-ba8d-b9a5591e7e38
African Research Association Managing Development in Nigeria (ARADIN),15c2fa88-d395-11ed-8014-0682e69bfbec
African Social Development Focus,6001583b-f8f0-4973-8e4e-8e97e3dbbcc8
African Union Development Agency - NEPAD (AUDA-NEPAD),9211bdaa-1e12-475f-bc26-6ad0348c82c9
African Women in Agribusiness Network (AWAN Afrika),77551c08-a9fa-490b-bb52-b6e3634a0534
Africorp International (ACI),15c2d711-d395-11ed-8014-0682e69bfbec
Afrikado Industries,061330af-452a-4df4-a4b1-ef9969e35a15
Afrique Esperance,2c8cd949-06e0-46a0-b245-8c092c7c086a
Agafamco Global,dd5922de-81dd-4e4b-be7e-f631d3a8fed6
Agency for Education and Development in DRC (EDA-DRC),b283e4b2-8a69-4dd7-94df-a7f77b68172f
AGFOR Technical Services,589110ed-91a6-4486-b710-4b989c6c00e0
Agrisustainability,01922836-c9c7-4f1f-8edb-e8ffa31e0f65
Agordey Farms,e2d7a8dc-a9fa-4152-91a6-b4b07186d46a
AGRECO,939cc677-e309-4068-8a5c-10e5a4713f18
Agri-Rurale Tchad,44a2e7e9-699d-422b-b1d4-6a23f1310061
Agribusiness Apprenticeship Center,797f1fe1-509d-4fd3-9987-678d9aeb48ed
Agribusiness Cluster,45a653e4-97b8-4a98-b386-d5df5c64ff2d
Agribusiness Solutions,9d211b1a-8b8c-4f04-a891-06028a0f6b58
Agricela,dfd9d43a-3970-4836-acd6-ba1d00785d73
Agricultural Society for the Development of Congo (SADEC),e7c34e23-68b8-47d6-a3fe-be5c45ca14d6
Agriculture Digitalisation et Multimédia (ADM),fbeb3d3b-cd50-4e6e-9d8a-1a3752440091
Agriculture Moteur de Développement (AGRIMOD),b36abf0a-e7a8-4522-b838-89b8723d4ea4
Agrieal Africa,701d38f5-9b19-476f-8d03-210d6df8de60
Agriguard,0fd8b98c-3912-461e-972c-713d993d6baa
AgriMercarb,f4c52eb4-0864-416a-b7cc-3717d5ea5bda
Agrinutrition Enterprise,433cd3e5-cfc9-41ec-9765-1bbb7bd45eec
Agriresearch Unguka,e4ebb276-98ed-4f56-8ca4-094bbbd2012b
Agrisolution,a2e01562-1936-4eef-9cea-dd69e5b5f071
Agrisus Consult Company,8529dd5a-b2de-42fb-a02d-2052c3f9cee5
Agritech Farm Supplies,b88f243f-645e-4855-aa13-4bbd2ae3cadd
Agro Behavior Change,cedf9d3a-bfad-4e0b-95c4-e441e873bf61
Agro Pro Farms Enterprises,bcc1b727-8858-4a5c-9522-c393f83f8728
Agro-Pests Solutions,a6e168be-66ba-4288-acaa-8393da783478
Agrobiotek-Ingenierie,fdd3e9ec-45b8-4e90-b47a-2b910872e37b
Agrocoop Consultants,b9528a47-fa53-4e41-b29a-1ebb7fa60a1f
Agrodiol,3b053dc3-f41d-4b55-854a-192b5d241e2f
Agrofit Ventures,4ee314be-d036-4e61-b531-56517c5e4126
AgroGreen KA-Ventures,99b23b54-3a74-4406-a035-ee43f9271b3c
Agrointroductions Ghana (AIG),99877fbb-72e8-48e6-8173-b2275df148e6
Agrowest Solutions,51eb4294-2757-4245-8b8a-824f14dcca61
Ahadi Achievers Empowerment (AAE),3aa695d6-b546-4bb2-a664-d2dfbab6c34d
Ai-Genix International,80465e55-39e5-4254-b35b-b4a3cf975a3b
AIC Cheptebo Rural Development Centre,b855145e-fe60-4b00-b37c-d15b773ca71a
AidEnvironment,e30f7d63-7689-4db5-9e74-19dfda8d79e6
Aides aux Personnes Démunies (APED),9638a5d1-37fe-42ac-b30a-a01b6eb5008c
Ajemalebu Self Help (AJESH-Ghana),958f75e6-3944-480d-b305-61c9d2d7e258
Akacia Kia,577c8069-19d5-4ba7-b82a-bd6c92859f17
Akamu Rice & Fish Agribusiness,98b82c92-1a54-4fdd-a619-8a7128de5ed8
Akaya Consulting,f17a7383-8a52-4bd3-8bf0-b549bc7fe3db
Akemo Agri Business,2042f6d7-7978-4c8f-8138-109e9ed1eb60
Akili Holdings,0ca3848d-cfe3-4dfd-a38d-44fe63f52ec7
Akyemansa Fine Flavour Co-Operative Cocoa Farming and Marketing Society,3f79ff17-be9a-427d-80d1-192cdeb11698
Albero Enterprises,70103df1-3bfd-41d7-8b4f-9af1731eb081
Alberta Farms,d0fb075c-5b36-496c-8dcf-b562cd29853a
Albertine Rift Conservation Society (ARCOS Network),15c0b98f-d395-11ed-8014-0682e69bfbec
Alcoford Corporation,8a62437c-2452-4d1f-95f2-43f8faba6421
Alili Farms,3e39abdf-dd73-4ad0-a56d-e19b2769cdec
Alimenta,98f16112-b077-4941-a3fc-ebd24bf20fa4
Alpha Eco-Klen Ventureslen,446942e6-aec1-4b19-9dbf-bc09f3e9e149
Alpha Ray Enterprise,0627394f-d39a-4115-a0a6-2dde2f5aa6b0
Aluvison Farm Enterprise,b4065d94-41d6-42ec-a4af-0553b2f132b7
Ama Farms,c430c9b2-207a-4aaf-bb11-e0a88737fccc
AMAATI Company,729a2968-5bcc-4dc9-a5bd-847dafba0a88
Amani-Institute,b8f94b5d-95ab-4830-bbff-c77b5674451c
Amis de la Justice,933a3d1c-ba91-47ca-9275-aef38ca08b4b
Angaza Company,15c3490f-d395-11ed-8014-0682e69bfbec
Angaza Company,5a843ad8-355c-4a15-86de-d27c40c88755
Anglican Development Services (ADS-Kenya),7da45397-099d-4de8-a847-5712134ff6c9
Anglican Development Services (ADS-NRR),08721233-6ee2-498c-b8c8-5084a429d059
Anglican Development Services (ADS-Southrift),3a0d9d46-5903-449c-8125-9395e5897429
Anglican Development Services Eastern (ADSE),77976699-ed9a-4f00-ad3e-01329ce67c97
Apinec Agro-Industry,15c142f9-d395-11ed-8014-0682e69bfbec
Appui au Développement Integral et a la Solidarite sur les Collines (ADISCO),12404c33-2fd0-49a2-a543-83d8d263a7fd
Apundaloch Smart Farm (ASF),5d7c768b-3df5-4adf-968e-9e7cd163d4d4
Arba Minch University,a309719a-b956-4d56-8565-c87d978c40de
arboRise,4ab0b9cb-b59f-443d-b94f-3fc10f2ab366
Argyll & the Isles Coast & Countryside Trust (ACT),15c3470a-d395-11ed-8014-0682e69bfbec
Arise Forestry Enterprises,acee369a-cf53-4ffb-bdab-d2f26f98d379
ASEAD,7f674f0f-9317-49ab-a5b1-decc88565235
Asefa Belay Akalu Coffee Development (ABACD),bb6acc37-71a1-4197-abbb-4c6b36a60a0e
Asetenapa Co-operative Cocoa Farming and Marketing Society,4c863bef-7bdb-4e9e-b44a-ab54246ffe44
Asili Coffee Purveyors,244365a2-5e1f-4a7c-adad-80bf3680af67
Asili Essential Oils,7784b543-46a6-40de-9eff-edb63ae7f83b
Asili Natural Oils,038c566d-9107-4279-8579-4a8ca6e03877
Asjeba Planting Your Future Foundation,dc7ca871-8145-4329-9d15-dee435cbeacc
ASPA,f26fb2d1-7943-4713-9243-0fc312880948
Assainissement,15c2da74-d395-11ed-8014-0682e69bfbec
Associao Educao e Meio Ambiente (EMA),15c2cd49-d395-11ed-8014-0682e69bfbec
Association d'Appui au Développement Communautaire,50f6caf2-02e2-4ffc-8fde-f455c87f5e66
Association de Développement pour la Paix et la Reconstruction en République Démocratique du Congo (ADPR-RDC),100da137-ce74-4e66-b13b-5c1a7ca8d777
Association de Gestion des Ressources Naturelles et de la Faune de la Comoé-Léraba (AGEREF/CL),15c2f85d-d395-11ed-8014-0682e69bfbec
Association de Jeunes Visionnaires pour le Développement du Congo (AJVDC - Brigade Verte),15c0b4a8-d395-11ed-8014-0682e69bfbec
Association de Soutien aux Initiatives Communautaires (ASIC),15c2ed4c-d395-11ed-8014-0682e69bfbec
Association des Cultivateurs des Collectivités des Batangi et Bamate (ACUCOBA),4e922860-cbb2-4d60-9975-adc4f00f7d3b
Association des Exploitants du Lac Kivu (AELAKI),e257c89a-3e44-4550-ad2c-a457381c39b6
Association des Exploitants et Études Forestiers du Sud- Kivu (AEEFOSKI),0afc7498-6198-48b9-92c9-b19b5ebc3aa8
Association des Femmes Artisanes de la Poterie Ignoree Paysannes (AFAPIP),e23caefc-c56f-468f-a2be-00429507a6a5
Association des Femmes et Hommes Unis pour la Paix et le Développement (AFHPD),792317f6-011a-46fb-a6e4-3486ef4c25b9
Association des Femmes pour la Promotion et le Développement Endogène (AFPDE),c9b44cdc-ce03-47ed-9639-1b786f49d91c
Association des Jeunes Entrepreneurs du Kivu,5a8cdf8a-14f7-4ca4-b4e5-0ec09e0b6d52
Association des Jeunes pour le Développement Communautaire (AJDC-RDC),c257fbc7-2a5d-42da-a260-061481c83709
Association des Jeunes pour le Développement Communautaire (AJDC-RDC),d329eb8d-38f9-47af-8c45-0bfd034b9a44
Association des Jeunes Volontaires au service du Monde Environnemental - Togo (AJVSME-Togo),15c286d4-d395-11ed-8014-0682e69bfbec
Association des Veuves Vulnerables Affectees et Infectees par le Vih/Sida (AVVAIS),06ecabeb-2b34-437c-b81d-58be7eb3c9f4
Association Engagée pour la Protection de l'Environnement et de Lutte Contre les Changements Climatiques (AEPELCCC),c3c2343e-1783-4f00-90f3-5818b412b494
Association Ensemble pour la Protection de l'Environnement (ASEPE),b902a2a8-362b-40e8-82fb-346d99220e12
Association Inter Cafe Cacao RDC (AICC-RDC),459d23d2-cc0f-4b0c-85f0-570592df9212
Association Kandili,b096be31-8bbb-46eb-ad04-ce1b91deb6c6
Association Mines sans Pauvreté (AMSP),15c2de80-d395-11ed-8014-0682e69bfbec
Association of Women in Agriculture Kenya (AWAK),4e2801fd-4c52-427e-83d3-59919f2b97c5
Association Paysanne pour l'Autosuffisance Alimentaire (APAA),42667955-4003-46e4-96f3-f0c9b67af818
Association pour la Promotion de l'Hygiene et le Développement Integral des Vulnerables (APROHDIV),b3f3c488-9229-4d8b-865b-00fde1af91e5
Association pour la Promotion des Arbres Fertilitaires de l'Agroforestérie et la Forestérie - Togo (APAF-Togo),15c2ebca-d395-11ed-8014-0682e69bfbec
Association pour la Promotion des Cultures Vivrières (APROCUVI),45603b7d-168f-438f-882e-04286e8ae398
Association pour la Promotion du Développement Durable (AP2D),ca81e610-deb5-4f2a-b42c-c85e94860685
Association pour la Protection de l'Environnement (APROTEV),c6a2c5e3-f129-4950-8eef-b9703e52aac5
Association pour la Protection de l'Environnement du Lac Kivu (APPEL KIVU),2ca2e71c-86e4-4d91-af4f-a866c02d8816
Association pour la Protection de l'Environnement et Développement Bien-Être Durable (APEBD),a70cbd4c-2b95-46e3-9742-27d086b82317
Association pour la Protection du Bien-être de la Biodiversité (APBEB),d5a736e9-e321-49a3-b74d-f7cc3ba6885e
Association pour le Développement de l'Agriculture et la Protection de l'Environnement (ADAPE),92cdfad0-4a4e-483a-a581-0feb128c58f5
Association pour le Développement et la Protection de l'Environnement (ADPE),6543ead6-7c81-499d-ba34-f509fc9c99c0
Association pour le Développement Intégral des Communautés (ADIC),f07acd32-4f8f-4727-aab0-9ddda31ec59e
Association pour le Développement Intégré (ADEI),1e8f960d-bb5b-4153-b5d1-f200855a5b55
Association pour une Jeunesse Africaine Progressiste (AJAP),0753850b-8fb3-4cae-b79b-e5af9de0e3ee
Association Rwandaise des Ecologistes (ARECO-Rwanda Nziza),e413c30b-c7f2-40df-8fd5-f042c0fd8ed7
Association Rwandaise pour le Développement Endogène (ARDE/KUBAHO),c958e92c-cc41-4207-b6da-df0ade6c7e6a
Association Tuvurwe Neza (ATN-Burundi),1c70e9e4-75d3-4cf4-a3cf-68e38a2aa7de
Asumah Farms,1bf83034-0dd3-4c25-9982-55fafd736da3
Asunkpa Farms,a1ecc158-277a-4b47-b02b-79133d411696
Atapar Womens Group,a2fe6041-f04a-47e4-a472-b6dc01b1babc
Attaufiq Farms Services Nigeria,797a12fa-ae12-4a23-9bca-243f149e9db9
Aummik Contractors and Supply Company,492c3615-d7d0-41a2-ad59-6d9d7c336b33
Autopromotion Rurale pour un Développement Humain Durable (ADHD),15c2e5bb-d395-11ed-8014-0682e69bfbec
Avoland Avocado,0f6e2f6e-73c0-48bd-8ed8-c3aaacc88765
AVOMAC Farm,15c351ae-d395-11ed-8014-0682e69bfbec
Avoruti Farm,4ded66ff-7982-4a46-947f-b81d01a11a50
Ayadina for Sudan Development Organization (ASDO),a4e0335d-2ce3-45fa-9b9d-6b39555d4fd9
Ayma Properties,dcf395de-a01d-47d9-bfca-c403bb31af0f
Aziagbeame Farms,5f37d96e-eceb-41db-9aa0-f7536649d177
Baakoye Cocoa Farmers Cooperative Union and Marketing,cc8cf07b-d93a-4eab-ad62-fd0c9f930421
Babuye Investment,163e5b46-430b-4872-a7b5-35c93a7c345d
Back to Basics (BTB),760ef7c6-4585-4e46-b99c-8a4679e31caa
Back to Basics (BTB),b15e0f50-74e4-4763-8167-c1dde90954f9
Balsam Agro,f7880579-4e11-4be3-a28a-c683d5b64ae3
Bamboosa Green Living,047164ed-c29b-4e4e-8243-73bf433a597b
Bamporeze Association,dd28fb44-7d81-44be-a9e1-800af87f06f1
Bare Care Centre,335b67a9-8680-4def-a0a6-d2072c0368de
Baringo Women and Youth Organization,a656e22b-d922-45d4-9325-95c890e0aee8
Basic Community Anja Miray,754bcf70-1043-4287-8377-2170244db1aa
Beecare Apiaries International,73063f98-00a3-485e-9c57-6cbcc4b06b09
BeeGulf,d1e248aa-e108-47ee-b43b-dbe7720e0566
Beekeeping Extension Society,293f2b85-c92b-42a7-adc9-ed8cf7fb5bba
Bees and Trees Uganda,f671b34e-43ec-48c3-9187-5989c41b7571
Ben Service Engineering,8e06b2a8-6928-4f91-853e-b1e9f9a40f27
Ben's Farms,52a53815-ee9e-4cce-8d0a-99b5eab0d818
Ben's Farms,d60216b3-3497-4b97-978a-018699ebab2e
Bénin Ecotourism Concern (ECO-Bénin),15c2fb3e-d395-11ed-8014-0682e69bfbec
Berur Tree Nursery,8d72935c-f631-4bf5-8a64-5fe1300d6cca
Besefa Farm,15a1a82c-9a50-4cf2-89a5-d57ab5169ef0
Best Liquidity & Investment,d9df2081-18ba-49af-9cf7-021087545098
Best Solution,168b0e0f-68a0-4803-96e6-0871147ea608
Beta-Resilience,0f08b72a-08ad-498b-8823-6ebffb059388
Bethany Land Institute,15c1cbdf-d395-11ed-8014-0682e69bfbec
Better Globe Forestry,63a137dd-6fd3-41fc-a40f-1ba6af092cbd
BEYI Group,af0ec44c-0686-4e13-896c-f92091473539
Beyond Beans,31c51734-d8b3-461d-94b1-7c98e0d051d8
Beyond More Technologies,48bfe277-c9a9-4da2-ae36-2a3f00eaa36d
Beyond Poverty Africa Network,7bfa0863-a085-4914-941d-5370a08f6a0b
Bibirioni Creatives Youth Group,a2e20fa1-4252-41b7-a037-30741723d1a8
Bio Natura Gabon,15c20b37-d395-11ed-8014-0682e69bfbec
Bio-Gaz-Benin-Afrique,ef28df91-5136-4ee6-b192-12d5d6f585aa
Biodiversity Conservation Organization (BIOCOOR),e5aacbe4-a5cc-46f4-b40a-f96e7e49bcae
Biograis,2b2543ba-c6bc-4811-9276-5ef6b6c0d0d9
BioLife,58c50c95-1585-4c79-8706-05c920350885
Biorwa,1af926df-8362-4ef4-84b1-adbf13a37b52
Biosorra,5b4b7ec2-8832-4e86-a11b-75257a16406f
Biovision Africa Trust (BvAT),a2b1ec80-deab-46a3-ad46-4d262cc156a4
BirdLife International - Kenya / Nature Rwanda,15c32316-d395-11ed-8014-0682e69bfbec
Bismark Farms,0b694ca3-43fa-4306-bdf4-a137c14d4966
Bizindavyi Pascal,c700b1a6-e620-42bb-973e-502500ea4814
Blessed Action for Africa,15c18f09-d395-11ed-8014-0682e69bfbec
Blossom Health Essentials,cdb92ae5-64d5-47c8-8807-0fe39f165987
Blue Forest,15c2f0bd-d395-11ed-8014-0682e69bfbec
BNB Service,eb91896f-cdce-4a60-b53b-a48264973ab2
Bofams Agrifield,47ac908f-a0f9-4fdd-9a42-073f1a37702f
Boma Ikolojia,1976472d-38ff-4ff4-9966-15065e8b477b
Bôndy,15c2e28c-d395-11ed-8014-0682e69bfbec
Bonsu Farms,ec31b9aa-8093-4ba6-a8ec-d537abb33eb4
Boreka Group Foundation,3d46c15e-9b9f-4abe-81bc-92bebb13f6b1
Boresha Life Empowerment Group,15c27abc-d395-11ed-8014-0682e69bfbec
Boresha Life Empowerment Group,dd11a0f4-a97a-4a45-8231-23c14a2ca8d1
Botanic Gardens Conservation International - Africa (BGCI-Africa),bb3ef923-75dc-4f3a-8cec-172c75c50de6
Botanic Gardens Conservation International - Africa (BGCI-Africa),ee9e8914-211b-482b-ab52-7191fa0b8b1e
Botanic Treasures,5035cd01-5209-4422-8d0e-977983ce23b2
Brain Youth Group,56bba666-7959-4b7b-86bb-4587620ca461
Bravo Romeo,90bbfafd-1d22-4964-ac16-4b0cbbdb0aa6
Brigade Environnementale des Jeunes pour le Développement Social (BEJDS),1984c3f0-bf2d-4e0a-8ae0-aa9ad13c81ac
Bright Arm Enterprise,2b2b226a-6f6c-40c2-aa88-f00e0ed09b29
Bright's Farms,f3f8d627-300c-4dc2-a97f-55c04b032cc9
Brong Ahafo Taungya Farmers Association,97986661-bab0-49ae-9fbb-ab215b3aa0a3
BS Eco Ventures,2d7a844b-11a6-47bd-a6d6-5935a1f4e661
Buikwe Disabled and Vulnerable Empowerment Association (BUDIVEA),15c25af3-d395-11ed-8014-0682e69bfbec
Building Resilience Development Organization (BRDO),7fe31cb5-07ff-40f8-9fa3-791c6dd05fe4
Bulindi Chimpanzee and Community Project (BCCP),15c17604-d395-11ed-8014-0682e69bfbec
Bureau de Reboisement Agroforesterie de la 8è Communauté des Eglises de Pentecôte en Afrfique Centrale (8È CEPAC BDR),2021364b-86da-4ac0-ae2c-e445b6e82691
Business Opportunity Consulting,b1ef9e61-871d-4888-ba8f-999fb1d11984
Busy Youth Organization,885416db-c4cd-4a9c-94dc-28742b00a7fe
Butamu Aspk,c46b51b5-e474-4b75-99cb-52445507a142
By Life Connected,0580e37d-1712-47a0-b8ce-3867e6e543ed
Ca nous Concerne tous,f7300c72-ade7-41c1-a4b7-221b37ee7074
Cabinet d'Expertises Agricoles (CEA),322e05ad-ca46-46fd-ba95-09f79c16a1ff
Cabinet Régional des Etudes pour le Développement (CREDE),1e4cb492-11e9-47df-a37c-a2741d7d6bf9
Cadre d'Actions Humanitaires et Techniques Agricoles,c60801d7-be11-4c6c-a10b-11be4bb88a48
Cadre de Concertation Intercommunautaire Obuguma,04c9d8f5-e93e-49c4-a862-e70b00bc15a5
Cameroon Wildlife Conservation Society (CWCS),15c26886-d395-11ed-8014-0682e69bfbec
Campus Leaders Africa (CLA),2830f2ff-ae44-4aee-a468-925ab006f355
Canopy Madagascar,548f31ca-1258-45ac-8bc0-6b5655f3d850
Capacity Building Consultants (CBC),87f34e61-bdb7-4439-9136-442e2c8e285a
CAPRECON,38ccb351-f4b6-47d9-98cd-4b8ed3341836
Care Love Charity Foundation,0c3ace62-3d0f-4e93-98ff-285a890d67ba
CareMe Bioplastics,61582414-3ca5-4f38-b84d-7149c5d73adc
Caritas Burundi,b56c5d54-74ae-42fb-9e59-7334adbf677e
Caritas Rwanda,9e9856bc-bcee-4d29-81c7-fcde81943838
Cartier Lodge Designing and Tailoring,1c20bf7b-61ef-488a-b685-9defd9f993bd
Catholic Diocese of Kitui - Caritas Kitui (CDoK),6d5662a0-2862-40e3-b8da-c6dc6876574a
CDAC,703adfad-7b45-4ba5-8931-94c149971c33
CelluBioClag Distillors,e9359c4d-882f-4d4a-b365-3b6ffec8cd70
Center for Green Africa Development (C-GAD),90364019-621f-4709-ae28-1ad4e71d0cf8
Center for Indigenous Knowledge and Organizational Development (CIKOD),8cf21a64-b366-453a-9995-8bc9eab6c9bb
Centre Africain de Recherches Forestières Appliquées et de Développement (CARFAD),1d6927b4-f6f9-4c23-97b9-a2ba98c10fee
Centre Agricole d'Encadrement des Jeunes de Saint Joseph de Kisantu,8a509322-496d-4371-b641-641c31fc493b
Centre d'Agribusiness Centrafrique (CenAC),ed094f7d-7f45-4b55-942d-6e8e435e6a7e
Centre de Médecine Traditionnelle de Buta,32afcc68-674c-4097-933d-5e4b7677ae6c
"Centre de Ressources Agroforestières, Forestières et de Formation Continue, Antenne Nord (CERAF-NORD)",4161ecd8-be4d-4762-9740-8471f1ddefcc
Centre Espoir du Fermier (CENEF-Burundi),30b22a41-f2cb-4af3-9397-a47a4ef6c0e4
Centre for Development and Enterprises Great Lakes,32975832-1325-4d9d-8fb8-ab9bb85473b1
Centre for Ecological and Community Development (CECD),675f618f-ba06-4345-8f12-dcd73649b1c0
Centre for Ecosystem Restoration - Kenya (CER-K),95403d45-3255-4bc5-a5e7-519ef734a478
Centre for Sustainability and Environmental Action (CSEA),5bc7a969-3a28-473c-8aac-970c84a64e25
Centre pour l'Environnement et le Développement (CED),15c2602b-d395-11ed-8014-0682e69bfbec
Centre pour l'Expertise Foncière et le Développement Communautaire (CEFOD),a9bf4ebb-ef94-42ea-b86a-614bff8d0b01
Centre ValBio / Institute for the Conservation of Tropical Environments (CVB/ICTE),15c155e0-d395-11ed-8014-0682e69bfbec
Centro de Estudos da Cultura e do Meio Ambiente da Amazônia (RIOTERRA),15c2bf1f-d395-11ed-8014-0682e69bfbec
CERATH Development Organization (CDO),15c2dc8c-d395-11ed-8014-0682e69bfbec
Cercle des Jeunes Ingenieurs Agronomes du Sud Kivu (CJA-SK),f4127800-88e2-4b14-90c5-0b20fa12cbe0
Cereal Growers Association (CGA),7bb5dec5-de72-434a-9eaf-c331722c1dfc
Chambre Transversale des Jeunes Entrepreneurs du Burundi (CTJEBU),714aa8a8-ac81-425c-9d33-274773919dbf
Chamgaa Group,e7f547da-dcdc-4d2f-a167-f1d498bd3008
Chamja Kofi Cocoa Farming,f7af5541-8abf-4eb1-abb6-876098b3f441
Chanzi Holdings,0fe20ea2-428d-483a-91ae-9eae6017096a
